,F,MFP,MFP3,MFP4,MFP5,M_flight,Mb_c,Mb_t,P02,P03,P04,P05,P0_ratio_c,P0_ratio_t,P8,T02,T03,T04,T05,T0_ratio_c,T0_ratio_t,T8,mdot2,mdot3,mdot4,mdot5,mdotf,omega_c,omega_t
0,8.00717673862982,0.29515269099460845,0.3116129659684248,0.21441104611652748,0.23396649480468334,0,0.45833111748764926,0.40724192372008516,101000.0,119038.86426226894,119038.86426226894,101000.00000895825,1.1786026164581083,0.8484623961669604,95750.95326292922,273.15,291.1063719580662,393.6023721888069,378.9555806198507,1.065738136401487,0.9627878473203656,374.3169349685463,0.15268960565014736,0.15268960565149747,0.15342042770492742,0.1534204277189712,0.0007308220526625183,4743.804906920587,4743.8049069401
1,8.421214704779091,0.3025113551866163,0.31743194248861833,0.21829800853167342,0.2398096339497927,0,0.4689802361449091,0.41632033022323983,101000.0,119944.05403050334,119944.05403050334,101000.00000515176,1.187564891391122,0.8420592485515467,95466.46006614814,273.15,291.952336383973,394.3281882183403,378.99126824253216,1.0688352055060333,0.9611062043393255,374.09521486172804,0.15649642011557963,0.15649642011405407,0.157244584775359,0.15724458478368628,0.0007481646572185137,4854.02509362229,4854.025093473791
2,8.848353807122823,0.30990250148298476,0.32315920670102877,0.22211489835811177,0.2456785238139621,0,0.4796293548021689,0.4253744541711159,101000.0,120875.73072733985,120875.73072733985,101000.00000479282,1.1967894131419787,0.8355688887839624,95171.43961037566,273.15,292.81798302150264,395.06875273299516,379.02563824479466,1.0720043310324094,0.9593915884837312,373.86201397892813,0.16032003835701272,0.16032003835570213,0.16108554620618878,0.16108554621401083,0.0007655078468108064,4964.245280323992,4964.245280189127
3,9.288848584138492,0.3173265097950227,0.32879316422065535,0.2258605903693485,0.25157340267154293,0,0.49027847345942865,0.4344039377315976,101000.0,121834.339071234,121834.339071234,101000.00000445536,1.206280584863703,0.828994524650417,94865.53981988272,273.15,293.703342776952,395.82400054955474,379.0585993947677,1.0752456261283252,0.9576443037018719,373.6168508653765,0.1641606569117295,0.16416065691061346,0.16494350579933884,0.1649435058066824,0.0007828488854228603,5074.465467025694,5074.465466903237
4,9.742959443982793,0.3247837048219519,0.3343322149472551,0.22953396803348639,0.2574944666829609,0,0.5009275921166885,0.4434084229679269,101000.0,122820.34042588268,122820.34042588268,101000.00000413756,1.2160429745136898,0.8223393588872777,94548.38886507883,273.15,294.60844940454786,396.5938826883486,379.09007431343747,1.078559214367739,0.9558646536445295,373.3592335223856,0.1680184437544687,0.1680184437535282,0.1688186286642472,0.16881862867113692,0.000800184907756787,5184.685653727397,5184.685653616263
5,10.210952391478779,0.3322743479877921,0.3397747473234379,0.23313392104402314,0.2634418653018367,0,0.5115767107739483,0.4523875488338432,101000.0,123834.21310818862,123834.21310818862,101000.00000383778,1.2260813179028576,0.8156065877819922,94219.59379770781,273.15,295.5333397808562,397.3783701630542,379.12000304760767,1.0819452307554684,0.9540529417644078,373.0886609928303,0.17189353412618075,0.17189353412539843,0.17271104706806692,0.1727110470745249,0.0008175129400171169,5294.9058404291,5294.9058403283225
6,10.693098684954322,0.33979862801413396,0.3451191318783852,0.23665934265363833,0.26941569606037485,0,0.5222258294312081,0.46134094751622123,101000.0,124876.4526260078,124876.4526260078,101000.00000355463,1.236400521049582,0.808799400364449,93878.7390655734,273.15,296.4780542093356,398.17745855873386,379.14834740553187,1.0854038228421585,0.9522094715705884,372.8046254840982,0.1757860256570962,0.17578602565645565,0.17662085558602825,0.1766208555920746,0.0008348299272058083,5405.126027130803,5405.126027039522
7,11.18967439840483,0.3473566498638409,0.35036371396206006,0.24010912678687762,0.2754159985985299,0,0.5328749480884679,0.47026824002011364,101000.0,125947.57181324785,125947.57181324785,101000.00000328674,1.2470056615173055,0.8019209783023622,93525.384893497,273.15,297.442636758784,398.9911734699449,379.17509612684086,1.0889351519633315,0.9503345470758973,372.5066150717685,0.1796959726470358,0.17969597264652187,0.1805481054171855,0.1805481054228386,0.000852132768557942,5515.346213832506,5515.346213749951
8,11.700959867896527,0.3549484217425292,0.3555068055598062,0.2434821649211961,0.2814427478038178,0,0.5435240667457277,0.47916903084542334,101000.0,127048.10082649505,127048.10082649505,101000.00000303288,1.257901988381139,0.7949744966354506,93159.06551854894,273.15,298.4271356401278,399.8195769675798,379.2002710522281,1.0925393946188096,0.9484284734836192,372.19411711449203,0.18362337934096282,0.18362337934056108,0.18449279770539334,0.18449279771067,0.0008694183629665887,5625.566400534208,5625.566400459688
9,12.227238996278487,0.3625738397785003,0.3605466760580582,0.24677734272610327,0.28749584590188565,0,0.5541731854029875,0.488042901571731,101000.0,128178.58695756714,128178.58695756714,101000.00000279205,1.269094920371952,0.787963125511967,92779.2872671703,273.15,299.4316036266864,400.6627752993099,379.2239344941258,1.0962167440112993,0.9464915581709119,371.8666225409001,0.18756819200354236,0.18756819200323913,0.1884548756715525,0.18845487567646796,0.0008866836666687586,5735.786587235911,5735.786587168807
10,12.768798384221963,0.3702326699201904,0.36548154180881315,0.2499935364509429,0.29357511330521735,0,0.5648223040602474,0.49688940312719354,101000.0,129339.5942039626,129339.5942039626,101000.00000256319,1.280590041623392,0.7808900331269854,92385.52646153473,273.15,300.45609852385337,401.5209280735571,379.246198054118,1.099967411765892,0.9445241120399123,371.5236312074302,0.19153028955425547,0.1915302895540377,0.1924342153214713,0.1924342153260398,0.0009039257659930083,5846.006773937613,5846.006773877366
